"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"ec3402","RESERVAS FACULTATIVA Y ESTATUTARIA","3402","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3403","RESERVA DE CAPITAL","3403","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3404","OTRAS RESERVAS","3404","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3501","SUPERAVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA","3501","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3502","SUPERAVIT POR REVALUACION DE PROPIEDADES, PLANTA Y EQUIPO","3502","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3503","SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES","3503","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3504","OTROS SUPERAVIT POR REVALUACION","3504","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3601","GANANCIAS ACUMULADAS","3601","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3602","PERDIDAS ACUMULADAS","3602","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3603","RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCION POR PRIMERA VEZ DE LAS NIIF","3603","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec3701","RESULTADO NETO DEL PERIODO","3701","account.data_account_type_equity","l10n_ec_ja_ifrs","False"
"ec410101","VENTA DE BIENES","410101","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec410201","PRESTACION DE SERVICIOS","410201","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4103","CONTRATOS DE CONSTRUCCION","4103","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4104","SUBVENCIONES DEL GOBIERNO","4104","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4105","REGALIAS","4105","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4106","INTERESES","4106","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4107","DIVIDENDOS","4107","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4108","GANANCIA POR MEDICIÓN A VALOR RAZONABLE DE ACTIVOS BIOLÓGICOS","4108","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4109","OTROS INGRESOS DE ACTIVIDADES ORDINARIAS","4109","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4110","#�NOMBRE?","4110","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4111","#�NOMBRE?","4111","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec42","GANANCIA BRUTA","42","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4301","DIVIDENDOS","4301","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4302","INTERESES FINANCIEROS","4302","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4303","GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS","4303","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec4304","VALUACION DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS","4304","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec430501","INGRESOS POR DIFERECIAS DE CAMBIO","430501","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec430502","OTRAS RENTAS","430502","account.data_account_type_revenue","l10n_ec_ja_ifrs","False"
"ec510101","INVENTARIO INICIAL DE BIENES NO PRODUCIDOS POR LA COMPAÑIA","510101","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510102","COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA","510102","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510103","IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA","510103","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510104","INVENTARIO FINAL DE BIENES NO PRODUCIDOS POR LA COMPAÑIA","510104","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510105","INVENTARIO INICIAL DE MATERIA PRIMA","510105","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510106","COMPRAS NETAS LOCALES DE MATERIA PRIMA","510106","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510107","IMPORTACIONES DE MATERIA PRIMA","510107","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
